main_match_id,source_key,date,home_team,away_team,home_goals,away_goals,ah,cover_status,home_tiros,away_tiros,home_tiros_a_puerta,away_tiros_a_puerta,home_ataques,away_ataques,home_ataques_peligrosos,away_ataques_peligrosos,home_red_cards,away_red_cards
2826246,last_home,24-10-2025,PSBS Biak,Persebaya Surabaya,0.0,0.0,-0.5,indeterminado,28.0,6.0,4.0,4.0,108.0,86.0,108.0,44.0,1.0,2.0
2826246,last_away,01-11-2025,Bhayangkara Solo FC,Persita Tangerang,1.0,1.0,0.25,NO CUBIERTO,11.0,10.0,6.0,4.0,83.0,71.0,46.0,39.0,,
2826246,h2h_general,,Persita Tangerang,PSBS Biak,0.0,2.0,-0.25,NO CUBIERTO,3.0,9.0,1.0,4.0,38.0,45.0,21.0,27.0,1.0,0.0
2830222,last_home,20-09-2025,St. Gilloise B,RAEC Mons,1.0,2.0,-0.75,NO CUBIERTO,7.0,9.0,1.0,5.0,74.0,93.0,35.0,25.0,,
2830222,last_away,27-09-2025,RAEC Mons,Schaerbeek Evere,2.0,1.0,-,indeterminado,,,,,,,,,,
2830222,h2h_general,,Local (H2H Gen),Visitante (H2H Gen),,,-,NEUTRO,,,,,,,,,,
2830416,last_home,20-09-2025,Dessel Sport,Tienen,1.0,1.0,1,indeterminado,9.0,7.0,3.0,3.0,90.0,59.0,42.0,25.0,,
2830416,last_away,03-10-2025,Thes Sport,Belisia Bilzen,1.0,1.0,0.25,NO CUBIERTO,5.0,14.0,2.0,6.0,66.0,76.0,34.0,36.0,,
2830416,h2h_col3,09-02-2025,Tienen,Thes Sport,3.0,2.0,0.5,indeterminado,10.0,8.0,6.0,3.0,113.0,110.0,54.0,56.0,,
2830416,h2h_general,,Dessel Sport,Belisia Bilzen,0.0,0.0,0.25,NO CUBIERTO,7.0,6.0,3.0,0.0,95.0,86.0,57.0,39.0,,
2837854,last_home,28-09-2025,2 de Mayo PJC,General Caballero LJM,2.0,0.0,0.25,indeterminado,16.0,12.0,4.0,4.0,76.0,83.0,43.0,37.0,,
2837854,last_away,27-09-2025,Sportivo Luqueno,Cerro Porteno,0.0,1.0,-0.75,CUBIERTO,14.0,12.0,5.0,4.0,87.0,106.0,34.0,43.0,,
2837854,h2h_col3,19-09-2025,General Caballero LJM,Sportivo Luqueno,5.0,2.0,0,indeterminado,19.0,15.0,9.0,4.0,66.0,73.0,36.0,30.0,,
2837854,h2h_general,,Cerro Porteno,2 de Mayo PJC,3.0,2.0,1,CUBIERTO,17.0,6.0,8.0,3.0,90.0,74.0,43.0,37.0,0.0,1.0
2837856,last_home,,Atletico Tembetary,Olimpia Asuncion,0.0,2.0,-,NEUTRO,8.0,22.0,3.0,5.0,89.0,103.0,41.0,59.0,1.0,0.0
2837856,last_away,,FC Nacional Asuncion,Clud Libertad,3.0,1.0,-,NEUTRO,17.0,14.0,8.0,4.0,79.0,90.0,38.0,33.0,0.0,1.0
2837856,h2h_col3,,FC Nacional Asuncion,Olimpia Asuncion,4.0,1.0,-,NEUTRO,18.0,7.0,10.0,3.0,97.0,80.0,39.0,47.0,,
2837856,h2h_general,,Clud Libertad,Atletico Tembetary,3.0,1.0,-,NEUTRO,14.0,10.0,5.0,4.0,108.0,73.0,48.0,23.0,,
2840803,last_home,25-10-2025,Cavese,Crotone,1.0,0.0,-0.25,CUBIERTO,5.0,9.0,2.0,3.0,124.0,269.0,36.0,107.0,,
2840803,last_away,26-10-2025,Cosenza Calcio 1914,Potenza,3.0,0.0,0.75,indeterminado,,,,,,,,,,
2840803,h2h_col3,,Crotone,Cosenza Calcio 1914,0.0,0.0,-,indeterminado,13.0,11.0,3.0,1.0,112.0,97.0,72.0,55.0,,
2840803,h2h_general,,Potenza,Cavese,1.0,0.0,0.25,NO CUBIERTO,12.0,12.0,6.0,3.0,99.0,98.0,28.0,57.0,,
2850508,last_home,19-09-2025,Hantharwady United,Yarmanya United FC,6.0,0.0,2,indeterminado,14.0,5.0,12.0,1.0,87.0,80.0,52.0,31.0,,
2850508,last_away,26-08-2025,Dagon Port,Shan United,0.0,3.0,-2.75,CUBIERTO,,,,,,,,,,
2850508,h2h_general,,Shan United,Hantharwady United,4.0,0.0,1.25,CUBIERTO,9.0,1.0,9.0,1.0,77.0,76.0,62.0,47.0,,
2858439,last_home,25-09-2025,Gualaceo SC,San Antonio(ECU),2.0,2.0,0.5,NO CUBIERTO,16.0,15.0,7.0,7.0,76.0,66.0,70.0,64.0,,
2858439,last_away,17-09-2025,San Antonio(ECU),Leones del Norte,1.0,1.0,0.25,indeterminado,10.0,15.0,1.0,7.0,66.0,72.0,34.0,64.0,,
2858439,h2h_general,,Leones del Norte,Gualaceo SC,1.0,2.0,0.75,CUBIERTO,15.0,5.0,5.0,3.0,95.0,63.0,81.0,42.0,0.0,1.0
2860747,last_home,02-10-2025,FC Macarthur,Beijing Guoan,3.0,0.0,0.25,CUBIERTO,12.0,6.0,6.0,2.0,87.0,118.0,55.0,50.0,,
2860747,last_away,18-09-2025,Beijing Guoan,Cong An Ha Noi,2.0,2.0,0.75,indeterminado,8.0,23.0,2.0,7.0,66.0,82.0,28.0,79.0,,
2860747,h2h_general,,Cong An Ha Noi,FC Macarthur,1.0,1.0,0.5,NO CUBIERTO,13.0,10.0,4.0,1.0,182.0,129.0,127.0,84.0,,
2860783,last_home,02-10-2025,Pohang Steelers,Kaya FC,2.0,0.0,2,NO CUBIERTO,18.0,4.0,7.0,1.0,120.0,64.0,92.0,13.0,,
2860783,last_away,18-09-2025,Kaya FC,Tampines Rovers FC,0.0,3.0,0,indeterminado,18.0,10.0,2.0,4.0,63.0,65.0,58.0,53.0,,
2860783,h2h_general,,Tampines Rovers FC,Pohang Steelers,1.0,0.0,-1,NO CUBIERTO,10.0,20.0,6.0,8.0,48.0,105.0,22.0,92.0,,
2868588,last_home,26-10-2025,Al-Nasar,Al-Jahra,0.0,1.0,0.25,indeterminado,9.0,5.0,4.0,4.0,126.0,116.0,74.0,66.0,,
2868588,last_away,27-09-2025,Kazma,Al-Arabi Club (KUW),0.0,0.0,-0.75,NO CUBIERTO,9.0,4.0,4.0,2.0,77.0,131.0,41.0,56.0,,
2868588,h2h_col3,,Al-Jahra,Kazma,2.0,2.0,-,indeterminado,3.0,20.0,3.0,4.0,83.0,131.0,28.0,83.0,,
2868588,h2h_general,,Al-Arabi Club (KUW),Al-Nasar,2.0,1.0,1.75,NO CUBIERTO,12.0,3.0,5.0,1.0,116.0,82.0,69.0,26.0,,
2868991,last_home,05-10-2025,Dreams Metro Gallery,Sui Tung,1.0,1.0,1.25,NO CUBIERTO,13.0,14.0,5.0,7.0,61.0,48.0,50.0,47.0,,
2868991,last_away,05-10-2025,Kwai Tsing District FA,Tuen Mun Football Team,2.0,1.0,0.25,indeterminado,14.0,5.0,4.0,3.0,97.0,66.0,66.0,31.0,,
2868991,h2h_general,,Dreams Metro Gallery,Tuen Mun Football Team,0.0,1.0,0.75,NO CUBIERTO,7.0,8.0,3.0,2.0,109.0,96.0,67.0,49.0,1.0,0.0
2874858,h2h_general,,Local (H2H Gen),Visitante (H2H Gen),,,-,NEUTRO,,,,,,,,,,
2883328,last_home,,Club Guabira,Always Ready,3.0,2.0,-,NEUTRO,16.0,8.0,6.0,3.0,71.0,94.0,34.0,29.0,1.0,0.0
2883328,last_away,,Always Ready,Aurora,4.0,2.0,-,NEUTRO,14.0,10.0,8.0,4.0,70.0,56.0,43.0,15.0,,
2883328,h2h_general,,Aurora,Club Guabira,0.0,2.0,-,NEUTRO,23.0,15.0,5.0,7.0,119.0,48.0,60.0,31.0,,
2885000,last_home,29-09-2025,Miramar Misiones FC,Defensor Sporting Montevideo,0.0,0.0,-0.25,indeterminado,3.0,4.0,1.0,1.0,77.0,86.0,58.0,65.0,,
2885000,last_away,27-09-2025,Cerro Largo,CA Penarol,1.0,3.0,-0.75,CUBIERTO,4.0,7.0,1.0,6.0,100.0,118.0,45.0,62.0,,
2885000,h2h_col3,13-09-2025,Cerro Largo,Defensor Sporting Montevideo,1.0,0.0,0,indeterminado,13.0,3.0,4.0,0.0,53.0,68.0,47.0,38.0,,
2885000,h2h_general,,CA Penarol,Miramar Misiones FC,4.0,2.0,1.5,CUBIERTO,12.0,4.0,6.0,3.0,128.0,118.0,81.0,64.0,,
2886358,last_home,30-09-2025,Jaguares de Cordoba,Real Cartagena,2.0,1.0,0.75,NO CUBIERTO,21.0,3.0,9.0,3.0,148.0,133.0,103.0,73.0,,
2886358,last_away,05-10-2025,Cucuta,Leones,4.0,0.0,1.75,indeterminado,11.0,3.0,6.0,2.0,58.0,55.0,31.0,24.0,,
2886358,h2h_general,,Leones,Jaguares de Cordoba,0.0,1.0,-0.75,NO CUBIERTO,15.0,8.0,4.0,3.0,116.0,80.0,44.0,30.0,,
2886508,last_home,28-09-2025,Loros De Colima,Reboceros de La Piedad,3.0,0.0,-0.25,CUBIERTO,7.0,10.0,6.0,0.0,52.0,74.0,19.0,42.0,,
2886508,last_away,28-09-2025,Los Cabos United,Acatlan,2.0,0.0,-,indeterminado,,,,,,,,,,
2886508,h2h_col3,14-09-2025,Los Cabos United,Reboceros de La Piedad,3.0,1.0,1,indeterminado,14.0,14.0,8.0,5.0,65.0,74.0,41.0,46.0,,
2886508,h2h_general,,Loros De Colima,Acatlan,0.0,0.0,-,NO CUBIERTO,,,,,,,,,,
2886510,last_home,28-09-2025,Tritones Vallarta MFC,Cimarrones de Sonora,0.0,3.0,-0.25,NO CUBIERTO,4.0,10.0,2.0,7.0,39.0,40.0,30.0,26.0,1.0,0.0
2886510,last_away,20-09-2025,Mineros de Fresnillo,Atletico Cocula,2.0,1.0,0.25,indeterminado,10.0,3.0,5.0,1.0,89.0,97.0,72.0,62.0,1.0,0.0
2886510,h2h_col3,06-09-2025,Cimarrones de Sonora,Mineros de Fresnillo,1.0,0.0,1.5,indeterminado,15.0,7.0,5.0,1.0,129.0,65.0,49.0,23.0,,
2886510,h2h_general,,Local (H2H Gen),Visitante (H2H Gen),,,-,NEUTRO,,,,,,,,,,
2886555,last_home,28-09-2025,Mexicali FC,Montaneses FC,0.0,1.0,-0.5,indeterminado,19.0,14.0,7.0,10.0,94.0,87.0,96.0,76.0,0.0,1.0
2886555,last_away,21-09-2025,Jaguares Chiapas FC,Pioneros de Cancun,4.0,2.0,0.5,NO CUBIERTO,16.0,12.0,11.0,6.0,80.0,78.0,60.0,32.0,,
2886555,h2h_col3,07-09-2025,Montaneses FC,Jaguares Chiapas FC,1.0,0.0,0.25,indeterminado,9.0,14.0,6.0,4.0,91.0,96.0,79.0,75.0,,
2886555,h2h_general,,Local (H2H Gen),Visitante (H2H Gen),,,-,NEUTRO,,,,,,,,,,
2886613,last_home,28-09-2025,Western Springs (W),CF Wellington United (W),5.0,4.0,-0.25,NO CUBIERTO,8.0,7.0,5.0,5.0,106.0,119.0,35.0,45.0,,
2886613,last_away,05-10-2025,Wellington Phoenix Reserves (W),Powerex Petone (W),2.0,0.0,-,indeterminado,14.0,2.0,8.0,2.0,348.0,353.0,95.0,55.0,,
2886613,h2h_col3,11-10-2024,CF Wellington United (W),Wellington Phoenix Reserves (W),4.0,0.0,2.25,indeterminado,21.0,3.0,11.0,3.0,127.0,95.0,60.0,26.0,,
2886613,h2h_general,,Local (H2H Gen),Visitante (H2H Gen),,,-,NEUTRO,,,,,,,,,,
2886615,last_home,,Wellington United Diamonds (W),Southern United (NZL)(W),1.0,1.0,-,NEUTRO,,,,,,,,,,
2886615,last_away,,Ellerslie (W),Eastern Suburbs (W),2.0,8.0,-,NEUTRO,11.0,24.0,7.0,16.0,74.0,108.0,38.0,71.0,,
2886615,h2h_general,,Eastern Suburbs (W),Wellington United Diamonds (W),0.0,1.0,-,NEUTRO,13.0,5.0,5.0,3.0,91.0,52.0,53.0,21.0,,
2887107,last_home,28-09-2025,Quintero Unido,Malleco Unido,1.0,2.0,0.25,indeterminado,13.0,12.0,5.0,6.0,99.0,78.0,56.0,24.0,,
2887107,last_away,27-09-2025,CD Municipal Mejillones,AC Colina,0.0,7.0,-2.75,CUBIERTO,15.0,27.0,3.0,16.0,36.0,62.0,38.0,69.0,1.0,0.0
2887107,h2h_col3,06-09-2025,CD Municipal Mejillones,Malleco Unido,0.0,3.0,-1.5,indeterminado,17.0,11.0,2.0,9.0,31.0,40.0,46.0,41.0,,
2887107,h2h_general,,AC Colina,Quintero Unido,5.0,0.0,1.5,CUBIERTO,20.0,11.0,15.0,2.0,105.0,98.0,63.0,61.0,,
2888065,last_home,20-09-2025,Blauw Geel,ASWH,5.0,0.0,0.75,CUBIERTO,18.0,11.0,7.0,6.0,77.0,73.0,39.0,36.0,,
2888065,last_away,27-09-2025,Tot Ons Genoegen Berkel,UDI 19,3.0,3.0,0,indeterminado,8.0,15.0,5.0,4.0,63.0,62.0,40.0,41.0,,
2888065,h2h_general,,Blauw Geel,UDI 19,1.0,0.0,2,PUSH,10.0,11.0,4.0,3.0,99.0,103.0,56.0,50.0,,
2888084,last_home,,Mayo Reserves,Club General Caballero Reserves,1.0,1.0,-,NEUTRO,2.0,4.0,1.0,1.0,102.0,99.0,63.0,76.0,1.0,0.0
2888084,last_away,,Sportivo Luqueno Reserves,Cerro Porteno Asuncion Reserves,1.0,0.0,-,NEUTRO,3.0,0.0,2.0,0.0,89.0,127.0,31.0,61.0,,
2888084,h2h_col3,,Club General Caballero Reserves,Sportivo Luqueno Reserves,4.0,1.0,-,NEUTRO,11.0,13.0,8.0,5.0,76.0,92.0,35.0,45.0,1.0,0.0
2888084,h2h_general,,Cerro Porteno Asuncion Reserves,Mayo Reserves,3.0,1.0,-,NEUTRO,13.0,6.0,7.0,2.0,109.0,105.0,95.0,77.0,,
2888556,last_away,20-07-2025,Libertad Sunchales,Centenario MSDyB,0.0,1.0,0.5,indeterminado,12.0,8.0,4.0,2.0,125.0,98.0,80.0,52.0,,
2888556,h2h_general,,Centenario MSDyB,Club Atlético Unión,1.0,1.0,-1.25,NO CUBIERTO,11.0,12.0,3.0,3.0,106.0,111.0,69.0,79.0,,
2888558,last_home,05-10-2025,Brooklyn City (W),Sporting JAX (W),3.0,3.0,0,NO CUBIERTO,9.0,13.0,4.0,5.0,83.0,97.0,71.0,73.0,,
2888558,last_away,14-09-2025,Spokane Zephyr (W),Tampa Bay Sun (W),2.0,0.0,0.25,indeterminado,12.0,14.0,3.0,5.0,170.0,162.0,41.0,63.0,0.0,1.0
2888558,h2h_general,,Brooklyn City (W),Tampa Bay Sun (W),2.0,1.0,0,CUBIERTO,10.0,10.0,4.0,5.0,95.0,95.0,26.0,44.0,,
2889083,last_home,,Cachanillas FC,FC CEPROFFA,0.0,0.0,-,NEUTRO,10.0,18.0,6.0,8.0,31.0,62.0,39.0,57.0,,
2889083,h2h_general,,Local (H2H Gen),Visitante (H2H Gen),,,-,NEUTRO,,,,,,,,,,
2895523,last_home,01-10-2025,Sporting De Huelva (W),Atleico Malaga (W),3.0,0.0,0.75,indeterminado,13.0,1.0,9.0,0.0,123.0,85.0,97.0,33.0,,
2895523,h2h_general,,Madrid CFF (W),Sporting De Huelva (W),2.0,1.0,1.75,NO CUBIERTO,18.0,7.0,9.0,1.0,142.0,107.0,93.0,59.0,,
2895570,last_home,16-10-2025,Difai Agsu FK,Shahdagh Qusar,1.0,2.0,0.25,NO CUBIERTO,11.0,12.0,6.0,5.0,79.0,66.0,53.0,35.0,,
2895570,last_away,15-10-2025,Sabail,Zaqatala FK,1.0,0.0,1.5,indeterminado,9.0,5.0,4.0,2.0,106.0,112.0,86.0,68.0,,
2895570,h2h_col3,,Sabail,Shahdagh Qusar,2.0,0.0,-,indeterminado,10.0,3.0,4.0,1.0,72.0,74.0,45.0,34.0,,
2895570,h2h_general,,Difai Agsu FK,Zaqatala FK,1.0,0.0,-,CUBIERTO,6.0,10.0,1.0,4.0,97.0,103.0,74.0,110.0,,
2897143,last_home,30-10-2025,FC Aserri,Santa Ana,1.0,3.0,0,NO CUBIERTO,12.0,8.0,4.0,6.0,69.0,71.0,59.0,41.0,,
2897143,last_away,02-11-2025,Escorpiones Belen,Futbol Consultants Moravia,2.0,2.0,0.75,PUSH,2.0,1.0,2.0,1.0,,,,,,
2897143,h2h_col3,,Santa Ana,Escorpiones Belen,1.0,3.0,-,CUBIERTO,9.0,12.0,2.0,4.0,91.0,80.0,42.0,38.0,,
2897143,h2h_general,,Futbol Consultants Moravia,FC Aserri,2.0,1.0,0.75,NO CUBIERTO,8.0,23.0,4.0,9.0,106.0,112.0,57.0,68.0,,
2897160,last_home,12-12-2023,Purwakarta,Bandung United,1.0,0.0,-,indeterminado,13.0,11.0,4.0,6.0,91.0,97.0,73.0,114.0,,
2897160,last_away,26-12-2023,PS BRT Subang,Persipu FC,3.0,1.0,1.25,NO CUBIERTO,12.0,5.0,6.0,2.0,90.0,99.0,104.0,62.0,,
2897160,h2h_general,,Local (H2H Gen),Visitante (H2H Gen),,,-,NEUTRO,,,,,,,,,,
2897409,last_home,16-10-2025,UST Growling Tigers,UP Fighting Maroons,1.0,2.0,-1.5,NO CUBIERTO,11.0,11.0,5.0,5.0,70.0,70.0,57.0,57.0,,
2897409,last_away,05-03-2020,Adamson Falcons,UE Red Warriors,2.0,3.0,0.5,indeterminado,9.0,5.0,4.0,4.0,123.0,104.0,84.0,58.0,,
2897409,h2h_col3,,Adamson Falcons,UP Fighting Maroons,0.0,1.0,-,indeterminado,9.0,23.0,4.0,8.0,73.0,99.0,52.0,69.0,,
2897409,h2h_general,,UE Red Warriors,UST Growling Tigers,1.0,2.0,-0.75,PUSH,14.0,16.0,6.0,8.0,112.0,109.0,64.0,101.0,,
